state,Average,Median,CostOfLivingIndex,GroceriesCostsIndex,HousingCostsIndex,UtilitiesCostsIndex,TransportationCostsIndex,HealthCareCostsIndex,MiscellaneousGoodsServicesCostsIndex,MinimumWage,McdonaldsBigMac2023,DominosMedCheese,McDonaldsHappyMeal,McDonaldsBigMac2025,ChickfilAChickenSandwich,TacoBellComboMeal
Alabama,53394.0,59605.0,88.0,97.2,69.5,100.0,90.8,87.0,95.6,,3.99,12.99,2.79,3.99,3.05,5.79
Alaska,66130.0,82512.0,123.8,127.1,118.0,152.8,114.3,150.0,118.9,11.73,4.87,15.99,3.4,4.87,3.7199999999999998,7.06
Arizona,63045.0,66340.0,111.5,101.1,131.9,105.3,104.4,92.7,105.2,14.35,4.43,14.99,3.1,4.43,3.39,6.43
Arkansas,51251.0,54658.0,88.7,95.2,74.8,90.7,90.0,85.7,96.7,11.0,3.95,12.99,2.76,3.95,3.02,5.73
California,76960.0,74819.0,144.8,111.7,208.7,139.8,136.7,107.7,115.3,16.0,5.11,14.99,3.5700000000000003,5.11,3.9,7.41
Colorado,71968.0,77331.0,102.0,100.7,107.7,89.3,94.8,104.3,102.6,14.42,4.59,14.99,3.21,4.59,3.51,6.66
Connecticut,73736.0,81285.0,112.3,102.6,117.2,135.9,104.8,109.9,109.0,15.69,4.95,14.49,3.46,4.95,3.7800000000000002,7.18
Delaware,65998.0,75674.0,100.8,102.5,97.4,98.2,102.2,102.4,102.9,13.25,4.63,13.99,3.24,4.63,3.54,6.72
District of Columbia,,,141.9,105.8,222.4,102.6,107.7,117.4,113.3,17.0,,,,,,
Florida,60216.0,62973.0,102.8,105.2,108.1,101.9,98.8,99.0,99.0,12.0,4.47,13.99,3.12,4.47,3.42,6.48
Georgia,61256.0,62468.0,91.3,97.3,79.2,97.4,96.0,100.4,94.6,5.15,4.15,13.99,2.9,4.15,3.17,6.02
Hawaii,65042.0,78745.0,186.9,130.4,310.0,198.0,133.3,121.1,130.5,14.0,5.31,18.99,3.71,5.31,4.06,7.7
Idaho,55640.0,68781.0,102.0,103.6,100.9,77.9,109.6,98.5,106.7,7.25,4.23,12.35,2.96,4.23,3.23,6.14
Illinois,67122.0,66950.0,94.4,98.1,83.3,99.5,103.4,99.1,97.7,14.0,4.55,14.49,3.18,4.55,3.48,6.6
Indiana,56410.0,60351.0,90.5,97.3,77.1,90.5,98.7,97.3,95.4,7.25,4.11,13.99,2.87,4.11,3.14,5.96
Iowa,56410.0,61283.0,89.7,96.6,74.8,82.9,97.6,95.8,95.4,7.25,4.07,12.99,2.85,4.07,3.11,5.91
Kansas,56264.0,64518.0,87.0,94.8,72.4,98.7,90.1,94.5,90.8,7.25,4.07,14.99,2.85,4.07,3.11,5.91
Kentucky,54018.0,57509.0,93.0,99.8,78.7,83.9,96.8,106.6,101.2,7.25,4.03,12.79,2.8200000000000003,4.03,3.08,5.85
Louisiana,53435.0,53821.0,92.2,96.1,83.8,78.5,95.4,96.6,99.4,,4.15,12.99,2.9,4.15,3.17,6.02
Maine,60008.0,66369.0,112.1,101.5,128.7,111.0,107.5,113.7,104.5,14.15,4.47,14.99,3.12,4.47,3.42,6.48
Maryland,73632.0,81293.0,115.3,107.1,135.8,110.3,101.7,100.9,108.9,15.0,5.03,13.99,3.52,5.03,3.84,7.3
Massachusetts,80330.0,81170.0,145.9,104.4,218.8,150.0,109.5,125.7,115.3,15.0,4.87,14.99,3.4,4.87,3.7199999999999998,7.06
Michigan,60590.0,64579.0,90.4,98.2,73.7,98.0,99.6,89.3,96.5,10.33,4.27,12.99,2.99,4.27,3.26,6.2
Minnesota,66706.0,72319.0,95.1,102.1,80.9,97.4,95.1,105.0,101.7,10.85,4.43,13.99,3.1,4.43,3.39,6.43
Mississippi,47569.0,51554.0,87.9,96.3,73.9,88.9,89.8,99.3,93.3,,3.91,13.49,2.73,3.91,2.99,5.67
Missouri,57574.0,59605.0,88.7,96.0,77.8,98.8,87.2,91.8,91.9,12.3,3.99,14.99,2.73,3.99,3.05,5.79
Montana,55910.0,65242.0,94.9,101.3,86.5,83.3,109.7,106.3,96.6,10.3,4.27,14.99,2.99,4.27,3.26,6.2
Nebraska,58074.0,63813.0,93.1,99.2,80.0,88.4,96.7,100.0,100.6,12.0,4.07,11.99,2.85,4.07,3.11,5.91
Nevada,58906.0,64412.0,101.3,103.2,107.7,103.9,119.0,87.1,92.0,11.25,4.43,13.99,3.1,4.43,3.39,6.43
New Hampshire,66102.0,84017.0,112.6,99.9,117.5,112.4,105.6,104.1,117.1,7.25,4.83,13.99,3.38,4.83,3.69,7.01
New Jersey,73986.0,83102.0,114.6,104.2,136.9,100.6,105.6,107.5,107.5,15.13,5.19,13.99,3.63,5.19,3.96,7.53
New Mexico,57512.0,56766.0,93.3,96.4,86.9,84.3,90.1,102.7,99.0,12.0,4.31,13.99,3.01,4.31,3.29,6.25
New York,78624.0,69135.0,123.3,103.9,168.0,99.7,106.8,108.9,106.9,15.0,5.23,14.49,3.65,5.23,4.0,7.58
North Carolina,59717.0,61811.0,97.8,98.4,93.3,97.1,93.6,104.7,101.6,7.25,4.15,14.49,2.9,4.15,3.17,6.02
North Dakota,59051.0,66813.0,91.9,95.0,80.1,81.0,99.8,108.2,98.8,7.25,4.11,12.99,2.87,4.11,3.14,5.96
Ohio,59883.0,61617.0,94.2,98.9,85.7,99.3,95.9,94.5,97.2,10.45,4.03,13.99,2.8200000000000003,4.03,3.08,5.85
Oklahoma,53456.0,55362.0,85.7,95.4,68.6,95.4,90.7,96.6,90.4,7.25,4.07,12.99,2.85,4.07,3.11,5.91
Oregon,66706.0,70266.0,112.0,106.2,133.3,89.7,118.6,109.7,101.1,14.2,4.47,13.99,3.12,4.47,3.42,6.48
Pennsylvania,61922.0,66923.0,95.1,99.2,84.3,106.0,104.3,90.6,97.9,7.25,4.47,12.99,3.12,4.47,3.42,6.48
Rhode Island,66602.0,72515.0,112.2,101.9,113.4,140.0,96.3,104.6,114.2,14.0,4.47,12.99,3.12,4.47,3.42,6.48
South Carolina,54246.0,59661.0,95.9,99.3,86.7,102.3,94.7,93.0,101.1,,4.11,13.99,2.87,4.11,3.14,5.79
South Dakota,53227.0,63862.0,92.2,97.5,88.1,83.5,98.3,101.0,92.4,11.2,3.99,12.99,2.79,3.99,3.05,5.96
Tennessee,56035.0,59052.0,90.5,97.1,83.2,87.2,89.1,88.6,94.9,,4.11,12.99,2.87,4.11,3.14,6.37
